,0
1357,f2084
1358,f2085
1359,f2090
1360,f2091
1361,f2092
1362,f2093
1363,f2094
1364,f2100
1365,f2101
1366,f2102
1367,f2104
1368,f2105
1369,f2107
1370,f2108
1371,f2114
1372,f2115
1373,f2119
1374,f2124
1375,f2125
1376,f2126
1377,f2127
1378,f2132
1379,f2133
1380,f2139
1381,f2144
1382,f2147
1383,f2149
1384,f2150
1385,f2151
1386,f2154
1387,f2155
1388,f2156
1389,f2158
1390,f2159
1391,f2160
1392,f2161
1393,f2162
1394,f2163
1395,f2164
1396,f2166
1397,f2167
1398,f2171
1399,f2174
1400,f2178
1401,f2181
1402,f2183
1403,f2184
1404,f2185
1405,f2187
1406,f2192
1407,f2193
1408,f2195
1409,f2196
1410,f2198
1411,f2200
1412,f2201
1413,f2203
1414,f2205
1415,f2206
1416,f2208
1417,f2211
1418,f2212
1419,f2213
1420,f2214
1421,f2215
1422,f2216
1423,f2217
1424,f2219
1425,f2221
1426,f2224
1427,f2225
1428,f2227
1429,f2231
1430,f2235
1431,f2238
1432,f2240
1433,f2244
1434,f2245
1435,f2247
1436,f2248
1437,f2249
1438,f2250
1439,f2251
1440,f2254
1441,f2257
1442,f2260
1443,f2266
1444,f2268
1445,f2274
1446,f2275
1447,f2276
1448,f2279
1449,f2281
1450,f2282
1451,f2285
1452,f2286
1453,f2287
1454,f2288
1455,f2290
1456,f2291
1457,f2292
1458,f2293
1459,f2295
1460,f2296
1461,f2298
1462,f2300
1463,f2301
1464,f2304
1465,f2308
1466,f2311
1467,f2313
1468,f2314
1469,f2316
1470,f2317
1471,f2318
1472,f2319
1473,f2320
1474,f2321
1475,f2323
1476,f2326
1477,f2328
1478,f2329
1479,f2330
1480,f2331
1481,f2334
1482,f2337
1483,f2338
1484,f2339
1485,f2342
1486,f2343
1487,f2344
1488,f2347
1489,f2351
1490,f2356
1491,f2357
1492,f2358
1493,f2359
1494,f2361
1495,f2362
1496,f2363
1497,f2364
1498,f2365
1499,f2366
1500,f2368
1501,f2370
1502,f2371
1503,f2372
1504,f2373
1505,f2374
1506,f2376
1507,f2377
1508,f2378
1509,f2379
1510,f2380
